GeneSymbol,GeneCategory
HAS1,HyaluronicAcid
HAS2,HyaluronicAcid
HAS3,HyaluronicAcid
CD44,HyaluronicAcid
HMMR,HyaluronicAcid
PTPRZ1,HyaluronicAcid
GPC1,Proteoglycan
GPC2,Proteoglycan
GPC3,Proteoglycan
GPC4,Proteoglycan
GPC5,Proteoglycan
GPC6,Proteoglycan
ACAN,Proteoglycan
BCAN,Proteoglycan
NCAN,Proteoglycan
VCAN,Proteoglycan
AGRN,Proteoglycan
PTPRZ1,Proteoglycan
CNTN,Proteoglycan
CNTN2,Proteoglycan
CSPG4,Proteoglycan
HSPG2,Proteoglycan
SMC3,Proteoglycan
SRGN,Proteoglycan
TGFBR3,Proteoglycan
BGN,Proteoglycan
DCN,Proteoglycan
ASPN,Proteoglycan
PRELP,Proteoglycan
KERA,Proteoglycan
OMD,Proteoglycan
LUM,Proteoglycan
FMOD,Proteoglycan
OGN,Proteoglycan
EPYC,Proteoglycan
CHAD,Proteoglycan
PODN,Proteoglycan
SDC1,Proteoglycan
SDC2,Proteoglycan
SDC3,Proteoglycan
SDC4,Proteoglycan
TNC,LinkProtein
TNN,LinkProtein
TNR,LinkProtein
TNXB,LinkProtein
HAPLN1,LinkProtein
HAPLN2,LinkProtein
HAPLN3,LinkProtein
HAPLN4,LinkProtein
LAMA1,BasmentMembrane
LAMA2,BasmentMembrane
LAMA3,BasmentMembrane
LAMA4,BasmentMembrane
LAMA5,BasmentMembrane
LAMB1,BasmentMembrane
LAMB2,BasmentMembrane
LAMB3,BasmentMembrane
LAMB4,BasmentMembrane
LAMC1,BasmentMembrane
LAMC2,BasmentMembrane
LAMC3,BasmentMembrane
RELN,BasmentMembrane
ADAM10,Enzyme
ADAM11,Enzyme
ADAM12,Enzyme
ADAM15,Enzyme
ADAM17,Enzyme
ADAM18,Enzyme
ADAM19,Enzyme
ADAM2,Enzyme
ADAM20,Enzyme
ADAM21,Enzyme
ADAM22,Enzyme
ADAM23,Enzyme
ADAM28,Enzyme
ADAM29,Enzyme
ADAM30,Enzyme
ADAM32,Enzyme
ADAM33,Enzyme
ADAM7,Enzyme
ADAM8,Enzyme
ADAM9,Enzyme
ADAMDEC1,Enzyme
ADAMTS1,Enzyme
ADAMTS10,Enzyme
ADAMTS12,Enzyme
ADAMTS13,Enzyme
ADAMTS14,Enzyme
ADAMTS15,Enzyme
ADAMTS16,Enzyme
ADAMTS17,Enzyme
ADAMTS18,Enzyme
ADAMTS19,Enzyme
ADAMTS2,Enzyme
ADAMTS20,Enzyme
ADAMTS3,Enzyme
ADAMTS4,Enzyme
ADAMTS5,Enzyme
ADAMTS6,Enzyme
ADAMTS7,Enzyme
ADAMTS8,Enzyme
ADAMTS9,Enzyme
ADAMTSL1,Enzyme
ADAMTSL2,Enzyme
ADAMTSL3,Enzyme
ADAMTSL4,Enzyme
ADAMTSL5,Enzyme
MMP1,Enzyme
MMP10,Enzyme
MMP11,Enzyme
MMP12,Enzyme
MMP13,Enzyme
MMP14,Enzyme
MMP15,Enzyme
MMP16,Enzyme
MMP17,Enzyme
MMP19,Enzyme
MMP2,Enzyme
MMP20,Enzyme
MMP21,Enzyme
MMP23B,Enzyme
MMP24,Enzyme
MMP25,Enzyme
MMP26,Enzyme
MMP27,Enzyme
MMP28,Enzyme
MMP3,Enzyme
MMP7,Enzyme
MMP8,Enzyme
MMP9,Enzyme
ITGA1,Integrin
ITGA2,Integrin
ITGA2B,Integrin
ITGA3,Integrin
ITGA4,Integrin
ITGA5,Integrin
ITGA6,Integrin
ITGA7,Integrin
ITGA8,Integrin
ITGA9,Integrin
ITGA10,Integrin
ITGA11,Integrin
ITGAD,Integrin
ITGAE,Integrin
ITGAL,Integrin
ITGAM,Integrin
ITGAV,Integrin
ITGAX,Integrin
ITGB1,Integrin
ITGB2,Integrin
ITGB3,Integrin
ITGB4,Integrin
ITGB5,Integrin
ITGB6,Integrin
ITGB7,Integrin
ITGB8,Integrin
COL10A1,FibrousProtein
COL11A1,FibrousProtein
COL11A2,FibrousProtein
COL12A1,FibrousProtein
COL13A1,FibrousProtein
COL14A1,FibrousProtein
COL15A1,FibrousProtein
COL16A1,FibrousProtein
COL17A1,FibrousProtein
COL18A1,FibrousProtein
COL19A1,FibrousProtein
COL1A1,FibrousProtein
COL1A2,FibrousProtein
COL20A1,FibrousProtein
COL21A1,FibrousProtein
COL22A1,FibrousProtein
COL23A1,FibrousProtein
COL24A1,FibrousProtein
COL25A1,FibrousProtein
COL26A1,FibrousProtein
COL27A1,FibrousProtein
COL28A1,FibrousProtein
COL2A1,FibrousProtein
COL3A1,FibrousProtein
COL4A1,FibrousProtein
COL4A2,FibrousProtein
COL4A3,FibrousProtein
COL4A4,FibrousProtein
COL4A5,FibrousProtein
COL4A6,FibrousProtein
COL5A1,FibrousProtein
COL5A2,FibrousProtein
COL5A3,FibrousProtein
COL6A1,FibrousProtein
COL6A2,FibrousProtein
COL6A3,FibrousProtein
COL6A5,FibrousProtein
COL6A6,FibrousProtein
COL7A1,FibrousProtein
COL8A1,FibrousProtein
COL8A2,FibrousProtein
COL9A1,FibrousProtein
COL9A2,FibrousProtein
COL9A3,FibrousProtein
FN1,FibrousProtein
FNDC1,FibrousProtein
FNDC7,FibrousProtein
FNDC8,FibrousProtein